"Vaccine","Day","Median","Measurement_type","Cell_Type","Unit"
"TMd21",8,229.876176712231,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"TMd21",14,70.7106450638433,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"TMd21",28,52.0327518330702,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"TMd21",60,55.1098407411291,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"IC",60,12.4666123992497,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm cells","CD8","number"
"SOL",60,15.6898510149522,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm cells","CD8","number"
"TM",60,10.0682402320575,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm cells","CD8","number"
"TMd21",60,19.5010179593577,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm cells","CD8","number"
"IC",8,590.078841869683,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tsl cells","CD8","number"
"IC",28,29.966213022172,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tsl cells","CD8","number"
"SOL",8,782.669632929807,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tsl cells","CD8","number"
"SOL",28,13.7348399093432,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tsl cells","CD8","number"
"TM",8,931.016946680531,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tsl cells","CD8","number"
"TM",28,18.0655969870598,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tsl cells","CD8","number"
"TMd21",8,391.411423930786,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tsl cells","CD8","number"
"TMd21",28,13.1943976957529,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tsl cells","CD8","number"
"IC",8,1774.310634071,"Number of CD127+ KLRG1- memory","CD8","number"
"IC",14,913.56525482082,"Number of CD127+ KLRG1- memory","CD8","number"
"IC",28,304.712669013228,"Number of CD127+ KLRG1- memory","CD8","number"
"IC",60,233.923172194787,"Number of CD127+ KLRG1- memory","CD8","number"
"SOL",8,1220.22139883303,"Number of CD127+ KLRG1- memory","CD8","number"
"SOL",14,477.346650062017,"Number of CD127+ KLRG1- memory","CD8","number"
"SOL",28,111.660683947482,"Number of CD127+ KLRG1- memory","CD8","number"
"SOL",60,129.508354926301,"Number of CD127+ KLRG1- memory","CD8","number"
"TM",8,1413.58656109657,"Number of CD127+ KLRG1- memory","CD8","number"
"TM",14,1143.52550314479,"Number of CD127+ KLRG1- memory","CD8","number"
"TM",28,201.066267489486,"Number of CD127+ KLRG1- memory","CD8","number"
"TM",60,143.218944212224,"Number of CD127+ KLRG1- memory","CD8","number"
"TMd21",8,896.205947168103,"Number of CD127+ KLRG1- memory","CD8","number"
"TMd21",14,524.996640987504,"Number of CD127+ KLRG1- memory","CD8","number"
"TMd21",28,109.785730530281,"Number of CD127+ KLRG1- memory","CD8","number"
"TMd21",60,80.7101293124197,"Number of CD127+ KLRG1- memory","CD8","number"
"IC",14,304.135646237261,"Number of CD62L+ CX3CR1- TCM","CD8","number"
"SOL",14,289.977800608246,"Number of CD62L+ CX3CR1- TCM","CD8","number"
"TM",14,320.668089112306,"Number of CD62L+ CX3CR1- TCM","CD8","number"
"TMd21",14,160.725531471071,"Number of CD62L+ CX3CR1- TCM","CD8","number"
"IC",14,1777939.83400143,"Number of CD8","CD8","number"
"SOL",14,1853235.77332415,"Number of CD8","CD8","number"
"TM",14,1889121.06848576,"Number of CD8","CD8","number"
"TMd21",14,1911652.64264973,"Number of CD8","CD8","number"
"IC",8,1129515.05263712,"Number of CD8 T cells","CD8","number"
"IC",14,866612.355655727,"Number of CD8 T cells","CD8","number"
"IC",28,947486.750345781,"Number of CD8 T cells","CD8","number"
"IC",60,436445.342719604,"Number of CD8 T cells","CD8","number"
"SOL",8,1332546.05579852,"Number of CD8 T cells","CD8","number"
"SOL",14,829547.745726496,"Number of CD8 T cells","CD8","number"
"SOL",28,882454.02600912,"Number of CD8 T cells","CD8","number"
"SOL",60,376237.108716384,"Number of CD8 T cells","CD8","number"
"TM",8,1372793.79509254,"Number of CD8 T cells","CD8","number"
"TM",14,1070809.93472585,"Number of CD8 T cells","CD8","number"
"TM",28,610325.40562666,"Number of CD8 T cells","CD8","number"
"TM",60,527588.718766158,"Number of CD8 T cells","CD8","number"
"TMd21",8,1116354.7267745,"Number of CD8 T cells","CD8","number"
"TMd21",14,1177494.34926151,"Number of CD8 T cells","CD8","number"
"TMd21",28,681683.455598456,"Number of CD8 T cells","CD8","number"
"TMd21",60,379983.313343894,"Number of CD8 T cells","CD8","number"
"IC",8,99.7245736120794,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"IC",14,41.1530591981565,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"IC",28,81.7014409631304,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"IC",60,12.2535762800886,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"SOL",8,189.54330093224,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"SOL",14,46.0280796518169,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"SOL",28,38.595656149229,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"SOL",60,5.59042033542876,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"TM",8,143.047119860609,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"TM",14,49.57601075,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"TM",28,50.7158216839831,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"TM",60,4.61643030507321,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"TMd21",8,66.3772454469768,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"TMd21",14,24.184462285665,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"TMd21",28,31.7172155293102,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"TMd21",60,4.51771629987097,"Number of CXCR5+ PD-1+ CD127+ KLRG1- TFH like","CD8","number"
"IC",28,16.5296415804327,"Number of CXCR5+ PD-1+ TFH like","CD8","number"
"SOL",28,9.15864224186291,"Number of CXCR5+ PD-1+ TFH like","CD8","number"
"TM",28,6.04164305758167,"Number of CXCR5+ PD-1+ TFH like","CD8","number"
"TMd21",28,5.96345272625825,"Number of CXCR5+ PD-1+ TFH like","CD8","number"
"IC",8,42.7837398676574,"Number of KLRG1+ CD127- effector","CD8","number"
"IC",14,9.59618241858007,"Number of KLRG1+ CD127- effector","CD8","number"
"IC",28,6.15097617931034,"Number of KLRG1+ CD127- effector","CD8","number"
"IC",60,2.88971413766498,"Number of KLRG1+ CD127- effector","CD8","number"
"SOL",8,46.36974401692,"Number of KLRG1+ CD127- effector","CD8","number"
"SOL",14,13.8332317901772,"Number of KLRG1+ CD127- effector","CD8","number"
"SOL",28,3.13560914467996,"Number of KLRG1+ CD127- effector","CD8","number"
"SOL",60,0.460746722395437,"Number of KLRG1+ CD127- effector","CD8","number"
"TM",8,183.757758139613,"Number of KLRG1+ CD127- effector","CD8","number"
"TM",14,45.373129883493,"Number of KLRG1+ CD127- effector","CD8","number"
"TM",28,16.6619465996254,"Number of KLRG1+ CD127- effector","CD8","number"
"TM",60,7.774187078327,"Number of KLRG1+ CD127- effector","CD8","number"
"TMd21",8,36.4037304446923,"Number of KLRG1+ CD127- effector","CD8","number"
"TMd21",14,23.9928727869505,"Number of KLRG1+ CD127- effector","CD8","number"
"TMd21",28,3.14992965923474,"Number of KLRG1+ CD127- effector","CD8","number"
"TMd21",60,0.472107088073395,"Number of KLRG1+ CD127- effector","CD8","number"
"IC",8,3.8795e-05,"Number of Tscm","CD8","number"
"SOL",8,0.0001525,"Number of Tscm","CD8","number"
"TM",8,0.00010158,"Number of Tscm","CD8","number"
"TMd21",8,4.24525e-05,"Number of Tscm","CD8","number"
"IC",8,1028,"Number of bead events","CD8","number"
"IC",14,1055.5,"Number of bead events","CD8","number"
"IC",28,967,"Number of bead events","CD8","number"
"IC",60,982.5,"Number of bead events","CD8","number"
"SOL",8,1052.5,"Number of bead events","CD8","number"
"SOL",14,1035.5,"Number of bead events","CD8","number"
"SOL",28,965,"Number of bead events","CD8","number"
"SOL",60,974.5,"Number of bead events","CD8","number"
"TM",8,1052,"Number of bead events","CD8","number"
"TM",14,1031,"Number of bead events","CD8","number"
"TM",28,969.5,"Number of bead events","CD8","number"
"TM",60,976.5,"Number of bead events","CD8","number"
"TMd21",8,1035.5,"Number of bead events","CD8","number"
"TMd21",14,1060,"Number of bead events","CD8","number"
"TMd21",28,970,"Number of bead events","CD8","number"
"TMd21",60,980,"Number of bead events","CD8","number"
"IC",8,84797.5,"Number of cell events","CD8","number"
"IC",14,114264,"Number of cell events","CD8","number"
"IC",28,56316,"Number of cell events","CD8","number"
"IC",60,57294.5,"Number of cell events","CD8","number"
"SOL",8,145383,"Number of cell events","CD8","number"
"SOL",14,108788,"Number of cell events","CD8","number"
"SOL",28,46018,"Number of cell events","CD8","number"
"SOL",60,51635.5,"Number of cell events","CD8","number"
"TM",8,132131,"Number of cell events","CD8","number"
"TM",14,133608,"Number of cell events","CD8","number"
"TM",28,49780,"Number of cell events","CD8","number"
"TM",60,38766,"Number of cell events","CD8","number"
"TMd21",8,118898,"Number of cell events","CD8","number"
"TMd21",14,131609.5,"Number of cell events","CD8","number"
"TMd21",28,42556,"Number of cell events","CD8","number"
"TMd21",60,38325,"Number of cell events","CD8","number"
"IC",8,3718.28376648047,"Number of tetramer+ cells","CD8","number"
"IC",14,1203.64316269614,"Number of tetramer+ cells","CD8","number"
"IC",28,348.598263699363,"Number of tetramer+ cells","CD8","number"
"IC",60,248.175943490074,"Number of tetramer+ cells","CD8","number"
"SOL",8,2221.00247962422,"Number of tetramer+ cells","CD8","number"
"SOL",14,646.462149836786,"Number of tetramer+ cells","CD8","number"
"SOL",28,133.040242846691,"Number of tetramer+ cells","CD8","number"
"SOL",60,150.746934343346,"Number of tetramer+ cells","CD8","number"
"TM",8,3939.87442044591,"Number of tetramer+ cells","CD8","number"
"TM",14,1532.87600957746,"Number of tetramer+ cells","CD8","number"
"TM",28,230.551410246961,"Number of tetramer+ cells","CD8","number"
"TM",60,159.516039048113,"Number of tetramer+ cells","CD8","number"
"TMd21",8,2267.57120774767,"Number of tetramer+ cells","CD8","number"
"TMd21",14,913.405905252007,"Number of tetramer+ cells","CD8","number"
"TMd21",28,154.364859847407,"Number of tetramer+ cells","CD8","number"
"TMd21",60,88.5389590670784,"Number of tetramer+ cells","CD8","number"
"IC",8,11.95,"PD-1+ CXCR5+ TFH like (% memory)","CD8","percentage"
"IC",60,4.44,"PD-1+ CXCR5+ TFH like (% memory)","CD8","percentage"
"SOL",8,20.6,"PD-1+ CXCR5+ TFH like (% memory)","CD8","percentage"
"SOL",60,5.895,"PD-1+ CXCR5+ TFH like (% memory)","CD8","percentage"
"TM",8,13.8,"PD-1+ CXCR5+ TFH like (% memory)","CD8","percentage"
"TM",60,1.52,"PD-1+ CXCR5+ TFH like (% memory)","CD8","percentage"
"TMd21",8,10.7,"PD-1+ CXCR5+ TFH like (% memory)","CD8","percentage"
"TMd21",60,1.97,"PD-1+ CXCR5+ TFH like (% memory)","CD8","percentage"
"IC",8,1.16,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"IC",14,4.065,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"IC",28,12.25,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"IC",60,6.78,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"SOL",8,3.715,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"SOL",14,9.96,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"SOL",28,16.3,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"SOL",60,6.3,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"TM",8,1.88,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"TM",14,7.55,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"TM",28,9.87,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"TM",60,4.125,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"TMd21",8,1.74,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"TMd21",14,6.215,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"TMd21",28,6.535,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"TMd21",60,4.95,"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","percentage"
"IC",60,83.5,"TCF1+ SLAMF6+ Tscm (% TCM)","CD8","percentage"
"SOL",60,93.45,"TCF1+ SLAMF6+ Tscm (% TCM)","CD8","percentage"
"TM",60,79.8,"TCF1+ SLAMF6+ Tscm (% TCM)","CD8","percentage"
"TMd21",60,91.55,"TCF1+ SLAMF6+ Tscm (% TCM)","CD8","percentage"
"IC",8,75,"TCF1+ SLAMF6+ Tsl (% memory)","CD8","percentage"
"IC",28,100,"TCF1+ SLAMF6+ Tsl (% memory)","CD8","percentage"
"SOL",8,89.55,"TCF1+ SLAMF6+ Tsl (% memory)","CD8","percentage"
"SOL",28,100,"TCF1+ SLAMF6+ Tsl (% memory)","CD8","percentage"
"TM",8,83.25,"TCF1+ SLAMF6+ Tsl (% memory)","CD8","percentage"
"TM",28,100,"TCF1+ SLAMF6+ Tsl (% memory)","CD8","percentage"
"TMd21",8,86.15,"TCF1+ SLAMF6+ Tsl (% memory)","CD8","percentage"
"TMd21",28,80.95,"TCF1+ SLAMF6+ Tsl (% memory)","CD8","percentage"
"IC",14,0.185,"Tetramer+ (% CD8 T cells)","CD8","percentage"
"SOL",14,0.0685,"Tetramer+ (% CD8 T cells)","CD8","percentage"
"TM",14,0.14,"Tetramer+ (% CD8 T cells)","CD8","percentage"
"TMd21",14,0.069,"Tetramer+ (% CD8 T cells)","CD8","percentage"
"IC",8,0.355,"Tetramer+ (% of CD8)","CD8","percentage"
"IC",14,0.0745,"Tetramer+ (% of CD8)","CD8","percentage"
"IC",28,0.034,"Tetramer+ (% of CD8)","CD8","percentage"
"IC",60,0.04,"Tetramer+ (% of CD8)","CD8","percentage"
"SOL",8,0.215,"Tetramer+ (% of CD8)","CD8","percentage"
"SOL",14,0.0585,"Tetramer+ (% of CD8)","CD8","percentage"
"SOL",28,0.0145,"Tetramer+ (% of CD8)","CD8","percentage"
"SOL",60,0.0235,"Tetramer+ (% of CD8)","CD8","percentage"
"TM",8,0.255,"Tetramer+ (% of CD8)","CD8","percentage"
"TM",14,0.065,"Tetramer+ (% of CD8)","CD8","percentage"
"TM",28,0.0395,"Tetramer+ (% of CD8)","CD8","percentage"
"TM",60,0.071,"Tetramer+ (% of CD8)","CD8","percentage"
"TMd21",8,0.205,"Tetramer+ (% of CD8)","CD8","percentage"
"TMd21",14,0.053,"Tetramer+ (% of CD8)","CD8","percentage"
"TMd21",28,0.023,"Tetramer+ (% of CD8)","CD8","percentage"
"TMd21",60,0.026,"Tetramer+ (% of CD8)","CD8","percentage"
"IC",8,100,"Total sample vol (µL)","CD8","number"
"IC",14,105,"Total sample vol (µL)","CD8","number"
"IC",28,100,"Total sample vol (µL)","CD8","number"
"IC",60,100,"Total sample vol (µL)","CD8","number"
"SOL",8,100,"Total sample vol (µL)","CD8","number"
"SOL",14,105,"Total sample vol (µL)","CD8","number"
"SOL",28,100,"Total sample vol (µL)","CD8","number"
"SOL",60,100,"Total sample vol (µL)","CD8","number"
"TM",8,100,"Total sample vol (µL)","CD8","number"
"TM",14,100,"Total sample vol (µL)","CD8","number"
"TM",28,100,"Total sample vol (µL)","CD8","number"
"TM",60,100,"Total sample vol (µL)","CD8","number"
"TMd21",8,100,"Total sample vol (µL)","CD8","number"
"TMd21",14,105,"Total sample vol (µL)","CD8","number"
"TMd21",28,100,"Total sample vol (µL)","CD8","number"
"TMd21",60,100,"Total sample vol (µL)","CD8","number"
