"Vaccine","Day","Median","Measurement_type","Cell_Type","Unit"
"TMd21",60,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"IC",8,0.18,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"IC",14,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"IC",28,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"IC",60,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"SOL",8,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"SOL",14,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"SOL",28,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"SOL",60,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"TM",8,0.0075,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"TM",14,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"TM",28,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"TM",60,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"TMd21",8,0.0585,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"TMd21",14,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"TMd21",28,0.255,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"TMd21",60,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage"
"IC",8,55,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"IC",14,67.5,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"IC",28,83.35,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"IC",60,45,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"SOL",8,27.15,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"SOL",14,43.3,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"SOL",28,89.45,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"SOL",60,41.55,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"TM",8,15.2,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"TM",14,23.7,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"TM",28,65.8,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"TM",60,33.3,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"TMd21",8,29.4,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"TMd21",14,43.65,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"TMd21",28,56.7,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"TMd21",60,66.7,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage"
"IC",8,3,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"IC",14,4,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"IC",28,9.95,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"IC",60,3.125,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"SOL",8,1.06,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"SOL",14,2.495,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"SOL",28,10.5,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"SOL",60,6.19,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"TM",8,0.465,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"TM",14,1.26,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"TM",28,5.385,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"TM",60,2.65,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"TMd21",8,1.085,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"TMd21",14,1.635,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"TMd21",28,4.87,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"TMd21",60,2.675,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage"
"IC",8,17136.313974662,"Cells/µL","CD4","number"
"IC",14,26796.4366454099,"Cells/µL","CD4","number"
"IC",28,65684.1172143804,"Cells/µL","CD4","number"
"IC",60,20574.3249719885,"Cells/µL","CD4","number"
"SOL",8,26856.4441873842,"Cells/µL","CD4","number"
"SOL",14,24705.5634146875,"Cells/µL","CD4","number"
"SOL",28,71529.3051263704,"Cells/µL","CD4","number"
"SOL",60,19217.9086146347,"Cells/µL","CD4","number"
"TM",8,43382.5452087207,"Cells/µL","CD4","number"
"TM",14,28406.4647137701,"Cells/µL","CD4","number"
"TM",28,54385.6902732883,"Cells/µL","CD4","number"
"TM",60,17702.9287152638,"Cells/µL","CD4","number"
"TMd21",8,35608.6119631902,"Cells/µL","CD4","number"
"TMd21",14,26009.5098670478,"Cells/µL","CD4","number"
"TMd21",28,60812.7152746991,"Cells/µL","CD4","number"
"TMd21",60,19296.4498337672,"Cells/µL","CD4","number"
"IC",8,5.975,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"IC",14,5.77,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"IC",28,11.65,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"IC",60,6.68,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"SOL",8,4.82,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"SOL",14,7.88,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"SOL",28,10.95,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"SOL",60,11.8,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"TM",8,2.465,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"TM",14,4.3,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"TM",28,9.495,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"TM",60,6.995,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"TMd21",8,3.665,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"TMd21",14,3.365,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"TMd21",28,8.55,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"TMd21",60,4.585,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage"
"IC",8,564708.027585138,"Number of CD4 T cells","CD4","number"
"IC",14,947760.606142343,"Number of CD4 T cells","CD4","number"
"IC",28,2290704.23234976,"Number of CD4 T cells","CD4","number"
"IC",60,652730.696659995,"Number of CD4 T cells","CD4","number"
"SOL",8,811716.412998976,"Number of CD4 T cells","CD4","number"
"SOL",14,849959.303907771,"Number of CD4 T cells","CD4","number"
"SOL",28,2517490.67374418,"Number of CD4 T cells","CD4","number"
"SOL",60,669464.813228486,"Number of CD4 T cells","CD4","number"
"TM",8,1225631.31357626,"Number of CD4 T cells","CD4","number"
"TM",14,994169.086943311,"Number of CD4 T cells","CD4","number"
"TM",28,1939509.52939424,"Number of CD4 T cells","CD4","number"
"TM",60,582860.042464115,"Number of CD4 T cells","CD4","number"
"TMd21",8,1027252.05291411,"Number of CD4 T cells","CD4","number"
"TMd21",14,879402.264485133,"Number of CD4 T cells","CD4","number"
"TMd21",28,2213495.98352829,"Number of CD4 T cells","CD4","number"
"TMd21",60,706796.376789937,"Number of CD4 T cells","CD4","number"
"IC",8,24.2884468774168,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"IC",14,9.1553655944056,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"IC",28,24.2231280135913,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"IC",60,5.64586888583162,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"SOL",8,139.966274504689,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"SOL",14,38.7113876240704,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"SOL",28,70.5687055860957,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"SOL",60,17.0649003906345,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"TM",8,334.69449752122,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"TM",14,38.3560248296696,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"TM",28,99.5036654029387,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"TM",60,12.9646189565217,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"TMd21",8,168.215569651417,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"TMd21",14,29.290878692013,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"TMd21",28,91.1285468386012,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"TMd21",60,7.13915914133383,"Number of Ly6C+ FOXP3- Teff cells","CD4","number"
"IC",8,84.3387479177095,"Number of TCM cells","CD4","number"
"IC",14,63.043123265949,"Number of TCM cells","CD4","number"
"IC",28,56.0359140691921,"Number of TCM cells","CD4","number"
"IC",60,35.0665301312651,"Number of TCM cells","CD4","number"
"SOL",8,494.520379231202,"Number of TCM cells","CD4","number"
"SOL",14,170.47313744071,"Number of TCM cells","CD4","number"
"SOL",28,193.724308333287,"Number of TCM cells","CD4","number"
"SOL",60,64.3065469635022,"Number of TCM cells","CD4","number"
"TM",8,1490.07731136049,"Number of TCM cells","CD4","number"
"TM",14,190.65828881394,"Number of TCM cells","CD4","number"
"TM",28,348.251784081246,"Number of TCM cells","CD4","number"
"TM",60,54.1738510806283,"Number of TCM cells","CD4","number"
"TMd21",8,711.571660848926,"Number of TCM cells","CD4","number"
"TMd21",14,174.096704198279,"Number of TCM cells","CD4","number"
"TMd21",28,266.057601140576,"Number of TCM cells","CD4","number"
