"Vaccine","Day","Median","Measurement_type","Cell_Type","Unit","baseline_Day","baseline_Median","Normalized"
"IC",8,5,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,5,1
"IC",14,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,5,0
"IC",28,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,5,0
"IC",60,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,5,0
"TM",8,0.405,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,0.405,1
"TM",14,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,0.405,0
"TM",28,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,0.405,0
"TM",60,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,0.405,0
"TMd21",8,1.34,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,1.34,1
"TMd21",14,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,1.34,0
"TMd21",28,3.335,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,1.34,2.48880597014925
"TMd21",60,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,1.34,0
"IC",8,0.18,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.18,1
"IC",14,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.18,0
"IC",28,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.18,0
"IC",60,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.18,0
"TM",8,0.0075,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0075,1
"TM",14,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0075,0
"TM",28,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0075,0
"TM",60,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0075,0
"TMd21",8,0.0585,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0585,1
"TMd21",14,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0585,0
"TMd21",28,0.255,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0585,4.35897435897436
"TMd21",60,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0585,0
"IC",8,55,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,55,1
"IC",14,67.5,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,55,1.22727272727273
"IC",28,83.35,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,55,1.51545454545455
"IC",60,45,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,55,0.818181818181818
"SOL",8,27.15,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,27.15,1
"SOL",14,43.3,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,27.15,1.59484346224678
"SOL",28,89.45,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,27.15,3.29465930018416
"SOL",60,41.55,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,27.15,1.53038674033149
"TM",8,15.2,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,15.2,1
"TM",14,23.7,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,15.2,1.55921052631579
"TM",28,65.8,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,15.2,4.32894736842105
"TM",60,33.3,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,15.2,2.19078947368421
"TMd21",8,29.4,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,29.4,1
"TMd21",14,43.65,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,29.4,1.48469387755102
"TMd21",28,56.7,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,29.4,1.92857142857143
"TMd21",60,66.7,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,29.4,2.2687074829932
"IC",8,3,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,3,1
"IC",14,4,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,3,1.33333333333333
"IC",28,9.95,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,3,3.31666666666667
"IC",60,3.125,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,3,1.04166666666667
"SOL",8,1.06,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,1.06,1
"SOL",14,2.495,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,1.06,2.35377358490566
"SOL",28,10.5,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,1.06,9.90566037735849
"SOL",60,6.19,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,1.06,5.83962264150943
"TM",8,0.465,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,0.465,1
"TM",14,1.26,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,0.465,2.70967741935484
"TM",28,5.385,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,0.465,11.5806451612903
"TM",60,2.65,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,0.465,5.6989247311828
"TMd21",8,1.085,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,1.085,1
"TMd21",14,1.635,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,1.085,1.50691244239631
"TMd21",28,4.87,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,1.085,4.48847926267281
"TMd21",60,2.675,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,1.085,2.46543778801843
"IC",8,17136.313974662,"Cells/µL","CD4","number",8,17136.313974662,1
"IC",14,26796.4366454099,"Cells/µL","CD4","number",8,17136.313974662,1.56372232004102
"IC",28,65684.1172143804,"Cells/µL","CD4","number",8,17136.313974662,3.83303651599182
"IC",60,20574.3249719885,"Cells/µL","CD4","number",8,17136.313974662,1.20062721787252
"SOL",8,26856.4441873842,"Cells/µL","CD4","number",8,26856.4441873842,1
"SOL",14,24705.5634146875,"Cells/µL","CD4","number",8,26856.4441873842,0.919911930347537
"SOL",28,71529.3051263704,"Cells/µL","CD4","number",8,26856.4441873842,2.66339447721718
"SOL",60,19217.9086146347,"Cells/µL","CD4","number",8,26856.4441873842,0.715579042428197
"TM",8,43382.5452087207,"Cells/µL","CD4","number",8,43382.5452087207,1
"TM",14,28406.4647137701,"Cells/µL","CD4","number",8,43382.5452087207,0.654790182943435
"TM",28,54385.6902732883,"Cells/µL","CD4","number",8,43382.5452087207,1.25363069436405
"TM",60,17702.9287152638,"Cells/µL","CD4","number",8,43382.5452087207,0.40806570085024
"TMd21",8,35608.6119631902,"Cells/µL","CD4","number",8,35608.6119631902,1
"TMd21",14,26009.5098670478,"Cells/µL","CD4","number",8,35608.6119631902,0.730427512702115
"TMd21",28,60812.7152746991,"Cells/µL","CD4","number",8,35608.6119631902,1.70780920462621
"TMd21",60,19296.4498337672,"Cells/µL","CD4","number",8,35608.6119631902,0.541904016188964
"IC",8,5.975,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,5.975,1
"IC",14,5.77,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,5.975,0.965690376569038
"IC",28,11.65,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,5.975,1.94979079497908
"IC",60,6.68,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,5.975,1.11799163179916
"SOL",8,4.82,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,4.82,1
"SOL",14,7.88,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,4.82,1.63485477178423
"SOL",28,10.95,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,4.82,2.27178423236515
"SOL",60,11.8,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,4.82,2.44813278008299
"TM",8,2.465,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,2.465,1
